id,address,city,state,price,bedrooms,bathrooms,sqft,year_built,lat,lng,description,condition
41,466 Laurel Street,Las Vegas,NV,743881,3,3.5,1237,2014,36.2263,-115.15,Family-friendly neighborhood property,Excellent
42,2496 Laurel Street,Wichita,KS,325141,2,2,1859,2018,37.6158,-97.3461,Spacious property with large backyard,Good
43,6697 Olive Way,Oakland,CA,1064917,2,2,1136,2013,37.7608,-122.3131,Energy-efficient home with low utility costs,Fair
44,1130 Alder Lane,Oklahoma City,OK,300840,2,3,1957,1988,35.5176,-97.5445,Convenient location near shopping and parks,Excellent
45,3004 Hickory Way,New York,NY,961291,4,1.5,1909,1999,40.7281,-73.9727,Convenient location near shopping and parks,Good
46,971 Beech Street,Albuquerque,NM,439723,4,1.5,2255,1989,35.1507,-106.6093,Beautiful family home in a quiet neighborhood,Good
47,3563 Walnut Circle,New York,NY,1337953,5,1.5,1729,2013,40.7519,-74.0737,Family-friendly neighborhood property,Good
48,741 Daisy Street,New York,NY,844006,3,1.5,1608,2002,40.738,-73.9329,Family-friendly neighborhood property,Good
49,6100 Oak Lane,Austin,TX,1020000.0,2,1.5,2230,1988,30.2227,-97.6842,Spacious property with large backyard,Good
50,8638 Oak Lane,Austin,TX,807489,2,3.5,3044,1994,30.2409,-97.7371,Spacious property with large backyard,Good
51,3125 Violet Road,Raleigh,NC,831081,3,2.5,2300,2002,35.8514,-78.686,Spacious property with large backyard,Good
52,8663 Oak Avenue,Oklahoma City,OK,480000.0,2,2,2750,1990,35.4808,-97.4589,Spacious property with large backyard,Fair
53,8626 Chestnut Drive,Tampa,FL,744000.0,3,3.5,1997,2019,27.9457,-82.5082,Ideal starter home or investment property,Excellent
54,6590 Daisy Boulevard,Los Angeles,CA,1273093,3,3,2202,2012,34.0301,-118.2795,Energy-efficient home with low utility costs,Excellent
55,8788 Poplar Court,Dallas,TX,567935,4,1.5,2603,2000,32.7895,-96.7315,Energy-efficient home with low utility costs,Fair
56,4682 Daisy Way,Columbus,OH,576000.0,3,2.5,3186,1989,40.0356,-83.0482,Convenient location near shopping and parks,Excellent
57,9188 Cedar Drive,Portland,OR,671045,3,2,1872,2015,45.464,-122.6309,Peaceful setting with mature trees,Good
58,9332 Alder Place,Sacramento,CA,900000.0,4,2,2548,2013,38.6304,-121.4154,Comfortable single-family residence,Fair
59,460 Oak Boulevard,San Jose,CA,1703215,3,2,2295,1998,37.3153,-121.8363,Energy-efficient home with low utility costs,Good
60,178 Holly Circle,Denver,CO,599437,2,2,1693,2011,39.6675,-104.9405,Move-in ready home with recent upgrades,Good
61,6716 Sunflower Road,Chicago,IL,629023,3,3.5,3154,1998,41.9042,-87.6294,Comfortable single-family residence,Good
62,2914 Rose Drive,Phoenix,AZ,560341,4,3,1888,2022,33.3733,-112.0323,Well-maintained home close to schools,Good
63,2735 Willow Boulevard,Tucson,AZ,434843,5,3.5,2744,1990,32.2695,-110.9827,Updated kitchen and bathrooms,Fair
64,6779 Palm Avenue,Las Vegas,NV,648488,4,3,1672,2020,36.1328,-115.0991,Classic style home with modern amenities,Fair
65,8840 Magnolia Street,Tucson,AZ,563276,3,3,2780,1999,32.3018,-111.0496,Classic style home with modern amenities,Good
66,6145 Daisy Road,Austin,TX,1020000.0,3,2.5,2615,1993,30.2668,-97.6942,Charming home with great curb appeal,Good
67,6475 Ash Lane,Phoenix,AZ,600514,3,2,2068,2010,33.4176,-112.1196,Family-friendly neighborhood property,Good
68,3350 Elm Drive,San Jose,CA,1556972,3,3,2159,2017,37.2647,-121.915,Comfortable single-family residence,Good
69,8693 Walnut Way,San Antonio,TX,576000.0,4,3,2704,1991,29.3679,-98.51,Modern home with open floor plan,Good
70,6849 Magnolia Circle,Tampa,FL,526607,3,3,1816,2019,27.9184,-82.4159,Peaceful setting with mature trees,Good
71,8945 Pine Avenue,Raleigh,NC,581780,2,3,1760,1995,35.7294,-78.6187,Updated kitchen and bathrooms,Good
72,3816 Alder Way,Los Angeles,CA,1477567,3,2,3136,2008,34.0054,-118.3007,Updated kitchen and bathrooms,Good
73,2913 Main Street,San Jose,CA,1920000.0,3,3.5,3159,2012,37.3407,-121.8759,Peaceful setting with mature trees,Good
74,5613 Cypress Drive,Albuquerque,NM,315638,2,2,1445,1988,35.0515,-106.6767,Classic style home with modern amenities,Good
75,7502 Daisy Street,Tucson,AZ,492706,5,3.5,2473,1997,32.2106,-111.0282,Spacious property with large backyard,Good
76,6274 Ash Street,Denver,CO,975174,3,2,1188,2010,39.6606,-104.946,Move-in ready home with recent upgrades,Fair
77,863 Tulip Avenue,El Paso,TX,335691,3,3.5,1735,1998,31.7617,-106.4667,Spacious property with large backyard,Excellent
78,483 Ash Circle,New York,NY,1392771,3,1.5,1850,1991,40.6362,-73.9933,Modern home with open floor plan,Good
79,8101 Pine Drive,Memphis,TN,386317,3,3,2601,1992,35.1963,-90.1183,Convenient location near shopping and parks,Good
80,691 Sycamore Street,San Diego,CA,1289419,3,2,2500,2000,32.7815,-117.134,Comfortable single-family residence,Fair
81,6086 Hemlock Circle,Boston,MA,1560000.0,3,2,1734,1986,42.357,-70.9881,Energy-efficient home with low utility costs,Good
82,4892 Maple Lane,Las Vegas,NV,580619,3,2,2633,2009,36.2229,-115.1696,Spacious property with large backyard,Excellent
83,3583 Juniper Place,Atlanta,GA,652712,3,2,1418,2009,33.6775,-84.4446,Charming home with great curb appeal,Good
84,9894 Holly Avenue,Charlotte,NC,378469,2,2.5,1310,2004,35.298,-80.7862,Classic style home with modern amenities,Excellent
85,7482 Oak Lane,Tucson,AZ,484710,3,3,2279,2012,32.1441,-111.0458,Charming home with great curb appeal,Good
86,9743 Oak Street,San Francisco,CA,2026563,5,2.5,2963,2023,37.7258,-122.4795,Updated kitchen and bathrooms,Fair
87,5401 Violet Circle,Miami,FL,611416,2,3,1659,2010,25.6899,-80.1436,Classic style home with modern amenities,Good
88,1317 Rose Lane,Louisville,KY,324909,4,2.5,2117,2018,38.1796,-85.7462,Classic style home with modern amenities,Good
89,2220 Juniper Street,Sacramento,CA,674667,3,2,2471,1993,38.613,-121.4394,Move-in ready home with recent upgrades,Good
90,6297 Daisy Boulevard,Jacksonville,FL,422205,3,2,2052,1989,30.3462,-81.7307,Modern home with open floor plan,Good
91,5326 Spruce Avenue,Boston,MA,1159163,4,2,2342,2014,42.3576,-71.049,Charming home with great curb appeal,Good
92,7695 Juniper Circle,San Antonio,TX,576000.0,3,3.5,2858,1990,29.4702,-98.5389,Bright and airy home with lots of natural light,Good
93,8287 Ivy Drive,Las Vegas,NV,840000.0,4,3.5,2802,1987,36.2442,-115.0772,Comfortable single-family residence,Good
94,6777 Spruce Street,Oakland,CA,978103,4,3.5,1355,2011,37.7629,-122.2148,Charming home with great curb appeal,Excellent
95,8995 Chestnut Drive,Long Beach,CA,1266101,4,3.5,2015,1996,33.7632,-118.1916,Peaceful setting with mature trees,Good
96,5581 Oak Street,New Orleans,LA,579666,3,2,1277,2016,29.9479,-90.0061,Updated kitchen and bathrooms,Fair
97,7558 Palm Place,Mesa,AZ,557980,4,2,2187,2013,33.4798,-111.9097,Beautiful family home in a quiet neighborhood,Good
98,7674 Birch Avenue,Albuquerque,NM,478831,3,3,1704,2006,35.0304,-106.582,Updated kitchen and bathrooms,Good
99,5383 Hickory Court,Philadelphia,PA,780000.0,4,3.5,1686,1998,39.9169,-75.1903,Spacious property with large backyard,Good
100,2588 Daisy Circle,Jacksonville,FL,608286,3,2.5,2103,2021,30.3416,-81.7239,Updated kitchen and bathrooms,Good
101,1928 Rose Road,San Diego,CA,1251692,4,2,2830,1991,32.7415,-117.1976,Classic style home with modern amenities,Fair
102,5687 Birch Circle,Milwaukee,WI,540000.0,5,2,3131,2002,43.0692,-87.8599,Energy-efficient home with low utility costs,Fair
103,3778 Poplar Court,Memphis,TN,456000.0,4,1.5,3052,1990,35.1098,-90.0558,Updated kitchen and bathrooms,Fair
104,5309 Maple Drive,Sacramento,CA,620030,4,2.5,1198,2000,38.6283,-121.548,Peaceful setting with mature trees,Fair
105,6469 Laurel Circle,Las Vegas,NV,668766,4,2,2051,2003,36.0973,-115.1534,Ideal starter home or investment property,Good
106,3090 Cedar Road,Mesa,AZ,660000.0,4,2,2284,1989,33.4695,-111.813,Move-in ready home with recent upgrades,Fair
107,6228 Beech Drive,San Francisco,CA,2309583,2,3.5,2422,2016,37.7,-122.3694,Convenient location near shopping and parks,Good
108,2463 Cedar Lane,Columbus,OH,576000.0,4,2,2694,2009,40.0045,-82.9412,Updated kitchen and bathrooms,Good
109,566 Laurel Way,Columbus,OH,470446,3,1.5,1693,1999,40.0148,-83.0529,Well-maintained home close to schools,Good
110,1960 Maple Boulevard,Milwaukee,WI,368122,4,3.5,2979,2013,42.9923,-87.8765,Updated kitchen and bathrooms,Good
111,1250 Rose Drive,Sacramento,CA,900000.0,4,1.5,2600,2016,38.5749,-121.4744,Convenient location near shopping and parks,Fair
112,4183 Laurel Avenue,Long Beach,CA,1320000.0,3,2.5,2601,1989,33.7136,-118.2211,Charming home with great curb appeal,Fair
113,3910 Spruce Drive,Indianapolis,IN,316049,4,2,1274,1995,39.7562,-86.1987,Classic style home with modern amenities,Good
114,5363 Lily Drive,Milwaukee,WI,291692,3,2,1840,2020,42.9703,-87.9829,Updated kitchen and bathrooms,Good
115,1431 Holly Court,Denver,CO,819704,3,2,1758,1991,39.683,-104.9518,Bright and airy home with lots of natural light,Fair
116,4233 Poplar Place,Chicago,IL,699630,3,3.5,2594,1995,41.8206,-87.6002,Beautiful family home in a quiet neighborhood,Fair
117,3231 Birch Road,New Orleans,LA,536030,4,1.5,1628,2000,29.9893,-90.0413,Modern home with open floor plan,Fair
118,2204 Daisy Circle,Tampa,FL,477450,4,2,1818,1986,27.9383,-82.4616,Bright and airy home with lots of natural light,Good
119,1552 Sunflower Avenue,Denver,CO,613958,4,1.5,1516,1991,39.8033,-104.9989,Well-maintained home close to schools,Good
120,5877 Alder Place,Jacksonville,FL,364427,2,3,1795,2016,30.2912,-81.6808,Updated kitchen and bathrooms,Excellent
121,5431 Violet Road,Austin,TX,708198,3,2,1774,2000,30.3142,-97.6799,Convenient location near shopping and parks,Excellent
122,8293 Palm Road,Milwaukee,WI,345545,3,2,2666,2000,43.1112,-87.8834,Charming home with great curb appeal,Fair
123,6021 Hemlock Way,Los Angeles,CA,1680000.0,3,2,3156,2006,34.0691,-118.3235,Energy-efficient home with low utility costs,Good
124,4212 Olive Street,Fort Worth,TX,534468,4,2.5,1250,2012,32.7996,-97.3577,Peaceful setting with mature trees,Good
125,9285 Alder Street,Fresno,CA,696000.0,4,2,3090,2005,36.7246,-119.7376,Well-maintained home close to schools,Excellent
126,1708 Lily Street,Portland,OR,663079,4,2.5,1471,1998,45.4532,-122.6169,Energy-efficient home with low utility costs,Good
127,9925 Chestnut Way,Denver,CO,1080000.0,3,1.5,2140,2005,39.695,-105.017,Modern home with open floor plan,Good
128,2298 Walnut Lane,Mesa,AZ,648450,5,2,2823,2010,33.4658,-111.8371,Move-in ready home with recent upgrades,Good
129,2169 Rose Way,San Antonio,TX,495933,3,3,1107,2021,29.3587,-98.4328,Move-in ready home with recent upgrades,Fair
130,3084 Cypress Court,Fort Worth,TX,573663,3,2,2230,2007,32.7705,-97.2665,Move-in ready home with recent upgrades,Fair
131,9912 Daisy Street,New York,NY,1037932,2,2,1715,1995,40.756,-73.9625,Ideal starter home or investment property,Good
132,7460 Chestnut Lane,Memphis,TN,373613,3,2,2046,2008,35.1746,-90.0515,Peaceful setting with mature trees,Good
133,3538 Maple Way,El Paso,TX,330895,3,1.5,1801,2015,31.7875,-106.5178,Well-maintained home close to schools,Good
134,6744 Cypress Drive,Fort Worth,TX,660000.0,3,2,2685,1996,32.7019,-97.3874,Comfortable single-family residence,Good
135,8622 Juniper Boulevard,Long Beach,CA,1186861,3,2.5,1577,2015,33.7711,-118.1274,Modern home with open floor plan,Fair
136,6190 Oak Boulevard,Seattle,WA,1440000.0,4,1.5,3100,1998,47.6373,-122.2676,Family-friendly neighborhood property,Good
137,8727 Tulip Drive,Nashville,TN,798761,5,2,1184,2012,36.2171,-86.7418,Bright and airy home with lots of natural light,Good
138,6830 Daisy Drive,Tucson,AZ,455594,4,3,2447,1995,32.1853,-111.0488,Comfortable single-family residence,Fair
139,8544 Tulip Place,Jacksonville,FL,624000.0,4,3,2640,1993,30.4115,-81.7115,Peaceful setting with mature trees,Good
140,7729 Hemlock Boulevard,San Jose,CA,1701093,4,2,1124,1999,37.3249,-121.9539,Well-maintained home close to schools,Excellent
141,637 Poplar Avenue,Minneapolis,MN,744000.0,4,2.5,2723,1999,44.942,-93.2312,Peaceful setting with mature trees,Excellent
142,5976 Sycamore Street,New Orleans,LA,416103,3,3,1367,2004,29.9303,-90.0419,Energy-efficient home with low utility costs,Good
143,903 Spruce Avenue,San Francisco,CA,2242698,4,3,1590,1996,37.7627,-122.4729,Energy-efficient home with low utility costs,Fair
144,8610 Daisy Street,Albuquerque,NM,576000.0,3,3.5,3042,1992,35.1408,-106.7,Energy-efficient home with low utility costs,Good
145,6474 Fir Place,Fresno,CA,696000.0,4,1.5,2806,2013,36.6604,-119.7507,Ideal starter home or investment property,Good
146,7292 Hickory Street,Boston,MA,1360888,2,2,1247,2008,42.3268,-70.98,Beautiful family home in a quiet neighborhood,Good
147,4559 Fir Boulevard,San Antonio,TX,563221,3,3,2031,2014,29.3708,-98.5275,Comfortable single-family residence,Good
148,8237 Spruce Way,Washington,DC,1283211,4,2,1707,1996,38.9819,-76.9996,Well-maintained home close to schools,Good
149,3424 Chestnut Way,Oklahoma City,OK,345304,4,2,1548,2006,35.48,-97.5261,Peaceful setting with mature trees,Fair
150,461 Fir Drive,Long Beach,CA,1126341,3,2.5,1156,1989,33.7491,-118.1718,Bright and airy home with lots of natural light,Good
151,1838 Rose Avenue,Albuquerque,NM,401159,4,1.5,2834,2018,35.096,-106.611,Ideal starter home or investment property,Excellent
152,4770 Dogwood Drive,Miami,FL,624383,4,2.5,1580,1997,25.6948,-80.1935,Modern home with open floor plan,Good
153,4970 Olive Way,Sacramento,CA,900000.0,4,2,1594,2008,38.5961,-121.5406,Spacious property with large backyard,Good
154,7416 Birch Drive,Philadelphia,PA,485481,2,2,1302,1992,40.0322,-75.1383,Energy-efficient home with low utility costs,Excellent
155,3276 Poplar Way,Raleigh,NC,756194,3,3,2547,2023,35.7378,-78.7025,Charming home with great curb appeal,Good
156,8367 Sycamore Lane,Kansas City,MO,504000.0,2,2.5,2059,2016,39.1112,-94.6465,Charming home with great curb appeal,Excellent
157,3923 Chestnut Road,Oklahoma City,OK,432913,4,2,2655,2004,35.4571,-97.5482,Spacious property with large backyard,Excellent
158,7370 Hickory Place,Indianapolis,IN,473439,4,3.5,1594,1992,39.8418,-86.2009,Ideal starter home or investment property,Good
159,2098 Juniper Circle,Baltimore,MD,567106,4,3,2537,1998,39.2509,-76.6383,Classic style home with modern amenities,Good
160,2874 Walnut Lane,Las Vegas,NV,628013,4,3,1842,1987,36.1017,-115.1891,Classic style home with modern amenities,Good
161,3406 Lily Drive,Seattle,WA,1440000.0,5,2.5,2744,2018,47.5874,-122.3508,Family-friendly neighborhood property,Good
162,8355 Juniper Place,Washington,DC,1051337,3,2,2772,2010,38.9563,-77.024,Modern home with open floor plan,Good
163,5255 Cedar Lane,Raleigh,NC,800255,5,2.5,1962,2001,35.7458,-78.6203,Classic style home with modern amenities,Fair
164,7548 Ivy Way,Omaha,NE,504000.0,5,3.5,3114,1993,41.2822,-95.8665,Well-maintained home close to schools,Good
165,1269 Alder Drive,Philadelphia,PA,388098,4,1.5,1519,1987,39.969,-75.0884,Modern home with open floor plan,Fair
166,6091 Cedar Avenue,San Jose,CA,1920000.0,4,3.5,2945,1994,37.3401,-121.8965,Peaceful setting with mature trees,Good
167,7277 Main Place,Albuquerque,NM,550492,4,1.5,3080,2000,35.0879,-106.7053,Beautiful family home in a quiet neighborhood,Excellent
168,5722 Cedar Lane,Tampa,FL,613477,5,2,1168,2014,28.0225,-82.4425,Move-in ready home with recent upgrades,Excellent
169,4471 Magnolia Road,Nashville,TN,900000.0,4,3,2856,1998,36.1445,-86.7036,Updated kitchen and bathrooms,Excellent
170,1497 Cedar Drive,San Jose,CA,1312212,2,2.5,1781,1996,37.4176,-121.8646,Beautiful family home in a quiet neighborhood,Good
171,9444 Chestnut Boulevard,Detroit,MI,389202,3,1.5,1172,2001,42.3239,-83.0744,Classic style home with modern amenities,Excellent
172,4856 Cypress Circle,Houston,TX,445251,3,2,2797,1990,29.818,-95.3308,Comfortable single-family residence,Fair
173,3697 Juniper Drive,Phoenix,AZ,720000.0,5,3.5,3006,2006,33.5171,-112.1184,Ideal starter home or investment property,Fair
174,3936 Cypress Avenue,Charlotte,NC,504326,4,2,2114,2005,35.2738,-80.8155,Ideal starter home or investment property,Fair
175,6236 Holly Street,Albuquerque,NM,576000.0,5,2.5,3078,1993,35.1481,-106.7181,Comfortable single-family residence,Excellent
176,9627 Spruce Drive,Mesa,AZ,502320,3,2,2824,2023,33.446,-111.7826,Well-maintained home close to schools,Good
177,2232 Elm Road,Albuquerque,NM,574395,4,2,1546,1992,35.1311,-106.5732,Classic style home with modern amenities,Good
178,6129 Tulip Road,Fresno,CA,440651,4,3.5,1123,1996,36.7763,-119.783,Updated kitchen and bathrooms,Good
179,8449 Juniper Boulevard,Raleigh,NC,762999,3,2,1290,1992,35.7613,-78.5926,Move-in ready home with recent upgrades,Good
180,1369 Poplar Avenue,Memphis,TN,328325,4,3,2191,2014,35.1518,-90.014,Ideal starter home or investment property,Good
181,5455 Sunflower Circle,Louisville,KY,504000.0,2,3.5,2622,2016,38.328,-85.8171,Beautiful family home in a quiet neighborhood,Excellent
182,2917 Cedar Lane,Fort Worth,TX,588479,4,1.5,2614,2009,32.8276,-97.29,Ideal starter home or investment property,Excellent
183,6049 Willow Road,New Orleans,LA,526011,4,2,1325,1985,29.879,-90.0627,Peaceful setting with mature trees,Good
184,6966 Main Circle,Portland,OR,1080000.0,3,2,2839,2017,45.5037,-122.6651,Well-maintained home close to schools,Excellent
185,9046 Sycamore Street,Phoenix,AZ,539563,4,1.5,2711,1993,33.4107,-112.0815,Bright and airy home with lots of natural light,Fair
186,9453 Cypress Avenue,Portland,OR,1080000.0,4,2,3032,2000,45.5579,-122.7536,Well-maintained home close to schools,Good
187,8983 Birch Way,San Diego,CA,1560000.0,3,3,3011,2016,32.6738,-117.1619,Well-maintained home close to schools,Fair
188,7047 Rose Way,Denver,CO,1080000.0,5,3,1672,1989,39.7688,-104.9436,Comfortable single-family residence,Fair
189,9151 Elm Street,El Paso,TX,456000.0,5,1.5,2862,1988,31.7426,-106.5474,Bright and airy home with lots of natural light,Good
190,2394 Ash Drive,San Jose,CA,1920000.0,2,1.5,1994,1999,37.3742,-121.8497,Charming home with great curb appeal,Good
191,5493 Dogwood Road,Jacksonville,FL,523995,4,3.5,2582,1985,30.4036,-81.6028,Ideal starter home or investment property,Fair
192,2349 Cypress Circle,Virginia Beach,VA,612506,4,1.5,1789,2018,36.9247,-76.0481,Comfortable single-family residence,Fair
193,7318 Fir Way,El Paso,TX,243845,3,3,1400,1992,31.6964,-106.4129,Peaceful setting with mature trees,Good
194,8368 Sycamore Place,Phoenix,AZ,553233,3,1.5,1502,2001,33.3815,-112.0394,Energy-efficient home with low utility costs,Good
195,4023 Cypress Way,Oklahoma City,OK,480000.0,4,2,2724,2010,35.533,-97.5727,Well-maintained home close to schools,Good
196,6536 Main Place,Louisville,KY,504000.0,2,2,1949,2006,38.1822,-85.7576,Peaceful setting with mature trees,Good
197,5449 Juniper Boulevard,Tucson,AZ,516271,3,2.5,1466,2013,32.2923,-111.0268,Modern home with open floor plan,Fair
198,4790 Dogwood Lane,San Antonio,TX,576000.0,5,3.5,3133,2010,29.4638,-98.4483,Well-maintained home close to schools,Good
199,2826 Olive Circle,Tucson,AZ,576000.0,4,1.5,2743,1991,32.2617,-110.9015,Charming home with great curb appeal,Good
200,6408 Elm Street,Atlanta,GA,747771,3,1.5,3101,2002,33.7312,-84.369,Modern home with open floor plan,Excellent
201,2021 Pine Place,Detroit,MI,381651,5,2,3191,1985,42.3185,-82.9816,Convenient location near shopping and parks,Fair
202,3503 Main Court,Sacramento,CA,858749,3,1.5,1380,2001,38.626,-121.5734,Ideal starter home or investment property,Excellent
203,7451 Alder Circle,Oklahoma City,OK,480000.0,4,1.5,2444,2007,35.5109,-97.5,Spacious property with large backyard,Good
204,4268 Laurel Street,Boston,MA,1560000.0,2,2,2566,1991,42.4038,-71.13,Bright and airy home with lots of natural light,Good
205,256 Orchid Court,Nashville,TN,854346,2,2,2524,1989,36.1105,-86.7618,Move-in ready home with recent upgrades,Good
206,9368 Juniper Place,Arlington,TX,624000.0,4,2.5,2656,1998,32.8154,-97.1787,Beautiful family home in a quiet neighborhood,Fair
207,9294 Cypress Way,Oklahoma City,OK,395973,2,3.5,2078,2008,35.4052,-97.4758,Classic style home with modern amenities,Fair
208,6987 Hemlock Way,Raleigh,NC,630645,3,2,1940,1987,35.8421,-78.6467,Well-maintained home close to schools,Good
209,8296 Poplar Boulevard,Los Angeles,CA,1680000.0,4,3,2957,1994,33.9999,-118.2471,Updated kitchen and bathrooms,Good
210,7991 Sunflower Court,Jacksonville,FL,624000.0,2,3,2785,1999,30.4086,-81.6081,Well-maintained home close to schools,Good
211,7343 Willow Lane,Columbus,OH,412911,3,2,1739,2007,39.9003,-83.0594,Peaceful setting with mature trees,Fair
212,5461 Laurel Avenue,Jacksonville,FL,624000.0,3,3.5,2643,2004,30.3695,-81.7062,Move-in ready home with recent upgrades,Good
213,4176 Palm Road,Houston,TX,660000.0,4,1.5,2360,2001,29.8098,-95.3664,Classic style home with modern amenities,Good
214,6516 Dogwood Boulevard,Washington,DC,963204,3,2,2324,2014,38.8416,-77.016,Beautiful family home in a quiet neighborhood,Excellent
215,731 Pine Road,Las Vegas,NV,686913,5,2,1264,1987,36.1726,-115.0831,Beautiful family home in a quiet neighborhood,Good
216,5947 Main Way,Houston,TX,614735,3,3,1968,2023,29.7977,-95.3147,Beautiful family home in a quiet neighborhood,Good
217,9592 Dogwood Way,Philadelphia,PA,494177,3,1.5,2009,1986,39.8857,-75.2088,Bright and airy home with lots of natural light,Good
218,7276 Olive Way,Kansas City,MO,490475,3,1.5,2058,1996,39.0917,-94.5776,Energy-efficient home with low utility costs,Excellent
219,9745 Olive Drive,New York,NY,1440000.0,3,3.5,2628,2021,40.7084,-73.9505,Beautiful family home in a quiet neighborhood,Good
220,8248 Orchid Drive,Memphis,TN,344401,5,2,2511,2017,35.2025,-89.9951,Beautiful family home in a quiet neighborhood,Good
